,unit_name,employee_unit,post_name,professional,person_num,person_num2,view,view2,detail,compare
0,国家物资储备局浙江办事处,国家物资储备局浙江办事处,人事与安全保卫处主任科员及以下,安全工程及相关专业,1,0,查看,查看,详情,对比
1,国家物资储备局浙江办事处,国家物资储备局浙江办事处,财务与仓管基建处主任科员及以下,财务管理、会计学专业,1,0,查看,查看,详情,对比
2,浙江海事局,宁波海事局,穿山海事处科员（一）,航海技术/船舶驾驶,4,0,查看,查看,详情,对比
3,浙江海事局,宁波海事局,北仑海事处科员（一）,航海技术/船舶驾驶,3,0,查看,查看,详情,对比
4,浙江海事局,宁波海事局,大榭海事处科员（一）,轮机工程/轮机管理,2,0,查看,查看,详情,对比
5,浙江海事局,宁波海事局,镇海海事处科员（一）,轮机工程/轮机管理,3,0,查看,查看,详情,对比
6,浙江海事局,宁波海事局,北仑海事处科员（二）,海事管理/海上交通工程,2,0,查看,查看,详情,对比
7,浙江海事局,宁波海事局,三江口海事处科员（一）,海事管理/海上交通工程/海商法,1,0,查看,查看,详情,对比
8,浙江海事局,宁波海事局,大榭海事处科员（二）,交通信息工程及控制 /交通运输规划与管理/载运工具运用工程,3,0,查看,查看,详情,对比
9,浙江海事局,宁波海事局,鄞奉海事处科员（一）,电子信息类/计算机类,1,0,查看,查看,详情,对比
10,浙江海事局,宁波海事局,梅山海事处科员（一）,国际关系/国际政治/外交学,1,0,查看,查看,详情,对比
11,浙江海事局,宁波海事局,鄞奉海事处科员（二）,土木工程/建筑环境与能源应用工程,1,0,查看,查看,详情,对比
12,浙江海事局,宁波海事局,梅山海事处科员（二）,环境科学/环境工程/环境科学与工程,3,0,查看,查看,详情,对比
13,浙江海事局,宁波海事局,穿山海事处科员（二）,法学类,2,0,查看,查看,详情,对比
14,浙江海事局,宁波海事局,镇海海事处科员（二）,汉语言/汉语言文学/汉语言文字学/语言学与应用语言学,1,0,查看,查看,详情,对比
15,浙江海事局,宁波海事局,穿山海事处科员（三）,新闻学/传播学,1,0,查看,查看,详情,对比
16,浙江海事局,宁波海事局,镇海海事处科员（三）,区域经济学/产业经济学/国际贸易学/数量经济学/世界经济,2,0,查看,查看,详情,对比
17,浙江海事局,宁波海事局,梅山海事处科员（三）,行政管理/劳动与社会保障/档案学,1,0,查看,查看,详情,对比
18,浙江海事局,宁波海事局,象山海事处科员（一）,工商管理类/图书情报与档案管理类,2,0,查看,查看,详情,对比
19,浙江海事局,宁波海事局,象山海事处科员（二）,化学类/环境科学/环境工程/环境科学与工程,1,0,查看,查看,详情,对比
20,浙江海事局,宁波海事局,宁海海事处科员,交通运输类/土木类/建筑类,1,0,查看,查看,详情,对比
21,浙江海事局,宁波海事局,北仑海事处科员（三）,公共管理类/统计学类,1,0,查看,查看,详情,对比
22,浙江海事局,宁波海事局,三江口海事处科员（二）,电子信息类/自动化类/计算机类,1,0,查看,查看,详情,对比
23,浙江海事局,宁波海事局,大榭海事处科员（三）,航海技术/船舶驾驶,2,0,查看,查看,详情,对比
24,浙江海事局,宁波海事局,三江口海事处科员（三）,轮机工程/轮机管理,1,0,查看,查看,详情,对比
25,浙江海事局,舟山海事局,岱山海事处科员（一）,航海技术/船舶驾驶,2,0,查看,查看,详情,对比
26,浙江海事局,舟山海事局,岙山海事处科员（一）,航海技术/船舶驾驶,3,0,查看,查看,详情,对比
27,浙江海事局,舟山海事局,嵊泗海事处科员（一）,轮机工程/轮机管理,1,0,查看,查看,详情,对比
28,浙江海事局,舟山海事局,嵊泗海事处科员（二）,轮机工程/轮机管理,2,0,查看,查看,详情,对比
29,浙江海事局,舟山海事局,沈家门海事处科员（一）,海事管理/海上交通工程/海商法,2,0,查看,查看,详情,对比
30,浙江海事局,舟山海事局,普陀山海事处科员（一）,海事管理/海上交通工程,1,0,查看,查看,详情,对比
31,浙江海事局,舟山海事局,普陀山海事处科员（二）,交通信息工程及控制 /交通运输规划与管理/载运工具运用工程,1,0,查看,查看,详情,对比
32,浙江海事局,舟山海事局,岱山海事处科员（二）,船舶与海洋工程/海洋工程与技术/船舶与海洋结构物设计制造,2,0,查看,查看,详情,对比
33,浙江海事局,舟山海事局,岙山海事处科员（二）,船舶与海洋工程/海洋工程与技术/船舶与海洋结构物设计制造,1,0,查看,查看,详情,对比
34,浙江海事局,舟山海事局,岱山海事处科员（三）,港口航道与海岸工程/港口、海岸及近海工程/水利水电工程,1,0,查看,查看,详情,对比
35,浙江海事局,舟山海事局,岙山海事处科员（三）,港口航道与海岸工程/港口、海岸及近海工程/水利水电工程,1,0,查看,查看,详情,对比
36,浙江海事局,舟山海事局,定海海事处科员（一）,交通运输/交通工程/交通管理/物流管理与工程类,2,0,查看,查看,详情,对比
37,浙江海事局,舟山海事局,嵊泗海事处科员（三）,环境科学/环境工程/环境科学与工程,1,0,查看,查看,详情,对比
38,浙江海事局,舟山海事局,岱山海事处科员（四）,财务管理/会计学,1,0,查看,查看,详情,对比
39,浙江海事局,舟山海事局,岱山海事处科员（五）,电子信息类,1,0,查看,查看,详情,对比
40,浙江海事局,舟山海事局,岱山海事处科员（六）,公共管理类/工商管理类,1,0,查看,查看,详情,对比
41,浙江海事局,舟山海事局,岱山海事处科员（七）,法学类,1,0,查看,查看,详情,对比
42,浙江海事局,舟山海事局,嵊泗海事处科员（四）,公共管理类,1,0,查看,查看,详情,对比
43,浙江海事局,舟山海事局,沈家门海事处科员（二）,财务管理/会计学,1,0,查看,查看,详情,对比
44,浙江海事局,舟山海事局,岙山海事处科员（四）,工商管理类/经济学类,1,0,查看,查看,详情,对比
45,浙江海事局,舟山海事局,普陀山海事处科员（三）,汉语言/汉语言文学/汉语言文字学/语言学与应用语言学,1,0,查看,查看,详情,对比
46,浙江海事局,舟山海事局,沈家门海事处科员（三）,航海技术/船舶驾驶,1,0,查看,查看,详情,对比
47,浙江海事局,舟山海事局,定海海事处科员（二）,轮机工程/轮机管理,1,0,查看,查看,详情,对比
48,浙江海事局,温州海事局,瓯江海事处科员,航海技术/船舶驾驶,2,0,查看,查看,详情,对比
49,浙江海事局,温州海事局,乐清湾海事处科员（一）,航海技术/船舶驾驶,2,0,查看,查看,详情,对比
50,浙江海事局,温州海事局,洞头海事处科员（一）,轮机工程/轮机管理,2,0,查看,查看,详情,对比
51,浙江海事局,温州海事局,飞云江海事处科员（一）,轮机工程/轮机管理,2,0,查看,查看,详情,对比
52,浙江海事局,温州海事局,乐清湾海事处科员（二）,港口航道与海岸工程/水利水电工程/土木工程,1,0,查看,查看,详情,对比
53,浙江海事局,温州海事局,乐清湾海事处科员（三）,新闻传播学类,1,0,查看,查看,详情,对比
54,浙江海事局,温州海事局,鳌江海事处科员,计算机科学与技术/软件工程/网络工程/信息安全/电子信息类,1,0,查看,查看,详情,对比
55,浙江海事局,温州海事局,洞头海事处科员（二）,环境科学/环境工程/环境科学与工程/化学类/化学工程与技术类,1,0,查看,查看,详情,对比
56,浙江海事局,温州海事局,飞云江海事处科员（二）,档案学,1,0,查看,查看,详情,对比
57,浙江海事局,温州海事局,洞头海事处科员（三）,法学类,1,0,查看,查看,详情,对比
58,浙江海事局,温州海事局,飞云江海事处科员（三）,经济学类,1,0,查看,查看,详情,对比
59,浙江海事局,台州海事局,椒江海事处科员（一）,航海技术/船舶驾驶,2,0,查看,查看,详情,对比
